1,0,נוריות לא דולקות.
2,1,האם הנורית הירוקה דולקת?
3,2,יש ללחוץ במרכז השקע. האם הגיע למוקד?
4,3,"מצוין, תודה"
5,2, יש ללחוץ במרכז השקע. האם לא הגיע למוקד?
6,5,אנא צור קשר עם שירות הלקוחות לתיאום נציג טכני
7,1,האם הנורית הירוקה כבויה?
8,7,יש לחבר את השנאי לשקע בקיר ולחברו למוקדנית בשקע PWR. האם המוקדנית נדלקה?
9,8,יש ללחוץ במרכז השקע. האם הגיע למוקד?
10,9,"מצוין, תודה"
11,7,יש לחבר את השנאי לשקע בקיר ולחברו למוקדנית בשקע PWR. האם המוקדנית עדיין כבויה?
12,11,יש להעביר את בורר המכשיר {נמצא ליד שקע PWR} למצב ON. האם הנורית הירוקה דלוקה?
13,12,יש ללחוץ במרכז השקע. האם הגיע למוקד?
14,13,"מצוין, תודה"
15,11, יש להעביר את בורר המכשיר {נמצא ליד שקע PWR} למצב ON. האם הנורית הירוקה כבויה?
16,15,אנא צור קשר עם שירות הלקוחות לתיאום נציג טכני
17,0,הדרכה לחיבור המוקדנית מחדש
18,17,האם ברצונך לחבר את המוקדנית לבד?
19,18,יש לחבר את השנאי לשקע בקיר ולחברו למוקדנית בשקע PWR. האם המוקדנית נדלקה? 
20,19,יש לחבר את המוקדנית לקו טלפון - יש לחבר בין שקע הטלפון שבקיר ולמוקדנית בשקע LINE 
21,20,יש לחבר את מכשיר הטלפון הביתי למוקדנית ולחברו לשקע  PHONE. 
22,21,יש להרים את השפורפרת של הטלפון הביתי- האם יש קו?
23,22,יש לבצע בדיקה למוקד. האם הסתדר?
24,23,"מצוין, תודה"
25,22,האם לא הסתדר?
26,25,אנא צור קשר עם שירות הלקוחות לתיאום נציג טכני.
27,21,יש להרים את השפורפרת של הטלפון הביתי- האם אין קו?
28,27,יש ליצור קשר עם ספק הטלפון לתיקון התקלה בקו.
29,18,יש לחבר את השנאי לשקע בקיר ולחברו למוקדנית בשקע PWR. האם המוקדנית עדיין כבויה? 
30,29,אנא צור קשר עם שירות הלקוחות לתיאום נציג טכני.
31,17,"אם לא ניתן, יש לצור קשר עם שירות הלקוחות לתיאום נציג טכני."
32,0,לחצן כתום לא מפעיל מוקדנית
33,32,האם הנורית הירוקה דולקת?
34,33,יש ללחוץ במרכז השקע. האם הגיע למוקד?
35,34,"מצוין, תודה"
36,33,יש ללחוץ במרכז השקע. האם לא הגיע למוקד?
37,36,אנא צור קשר עם שירות הלקוחות לתיאום נציג טכני
38,32,האם הנורית הירוקה כבויה?
39,38,יש לחבר את השנאי לשקע בקיר ולחברו למוקדנית בשקע PWR. האם המוקדנית נדלקה? 
40,39,יש ללחוץ במרכז השקע. האם הגיע למוקד?
41,40,"מצוין, תודה"
42,39,יש ללחוץ במרכז השקע. האם לא הגיע למוקד?
43,42,אנא צור קשר עם שירות הלקוחות לתיאום נציג טכני
44,38,יש לחבר את השנאי לשקע בקיר ולחברו למוקדנית בשקע PWR. האם המוקדנית עדיין כבויה? 
45,44,אנא צור קשר עם שירות הלקוחות לתיאום נציג טכני
46,0,מוקדנית מרעישה (טרקטור)
47,46,האם הבורר בתחתית המוקדנית נמצא במצב טונים?
48,47,אנא צור קשר עם שירות הלקוחות לתיאום נציג טכני.
49,46,האם הבורר בתחתית המוקדנית לא נמצא במצב טונים?
50,49,יש להעביר את הבורר למצב טונים ולבצע כיבוי והדלקה למכשיר. האם הסתדר?
51,50,"מצוין, תודה"
52,49,יש להעביר את הבורר למצב טונים ולבצע כיבוי והדלקה למכשיר האם לא הסתדר?
53,52,אנא צור קשר עם שירות הלקוחות לתיאום נציג טכני.
54,0,מוקדנית מחייגת עצמאית למוקד
55,54,"יש להחליף מכשיר, אנא צור קשר עם שירות הלקוחות לתיאום נציג טכני"
56,0,אור אדום מהבהב
57,56, האם חוט הטלפון שמגיע מהקיר מנותק משקע LINE? 
58,57,יש לחבר את החוט לשקע LINE.  
59,58,כעת יש ללחוץ על הלחצן הכתום. האם מגיע למוקד?
60,59,"מצוין, תודה"
61,58, האם לא מגיע למוקד?
62,61,אנא וודא כי מכשיר הטלפון הביתי מחובר למוקדנית
63,62,אנא הרם את השפופרת. האם יש קו?
64,63,אנא צור קשר עם שירות הלקוחות לתיאום נציג טכני.
65,62,האם אין קו?
66,65,יש ליצור קשר עם ספק הטלפון לתיקון תקלה בקו הטלפון
67,56,האם חוט הטלפון שמגיע מהקיר מחובר לשקע LINE?
68,67,יש ללחוץ על הלחצן הכתום. האם מגיע למוקד?
69,68,"מצוין, תודה"
70,67, האם לא מגיע למוקד?
71,70,אנא וודא כי מכשיר הטלפון הביתי מחובר למוקדנית
72,71,אנא הרם את השפופרת. האם יש קו?
73,72,אנא צור קשר עם שירות הלקוחות לתיאום נציג טכני.
74,71,האם אין קו?
75,74,יש ליצור קשר עם ספק הטלפון לתיקון תקלה בקו הטלפון
76,0,אור ירוק ואור אדום מהבהבים
77,76,האם השנאי מחובר לקיר ולמוקדנית?
78,77,האם יש חשמל בבית?
79,78,אנא הנחה את המנוי לחבר מכשיר חשמלי נוסף לאותו שקע בקיר. האם הסתדר?
80,79,אנא צור קשר עם שירות הלקוחות לתיאום נציג טכני.
81,78,האם לא הסתדר?
82,81,אנא הנחה את המנוי לפנות שוב כאשר חוזר החשמל.
83,77,האם אין חשמל בבית?
84,83,אנא הנחה את המנוי לפנות שוב כאשר חוזר החשמל.
85,76,האם השנאי מנותק מהקיר ומהמוקדנית?
86,85,יש לחבר את השנאי לקיר ולמוקדנית. האם האורות הפסיקו להבהב?
87,86,"מצוין, תודה"
88,85, האם האורות ממשיכים להבהב?
89,88,האם יש חשמל בבית?
90,89,אנא הנחה את המנוי לחבר מכשיר חשמלי נוסף לאותו שקע בקיר. האם הסתדר?
91,90,אנא צור קשר עם שירות הלקוחות לתיאום נציג טכני.
92,89,האם לא הסתדר?
93,92,אנא הנחה את המנוי לפנות שוב כאשר חוזר החשמל.
94,88,האם אין חשמל בבית?
95,94,אנא הנחה את המנוי לפנות שוב כאשר חוזר החשמל.
96,0,מוקדנית מחייגת אך לא מגיעה למוקד
97,96, האם חוט הטלפון שמגיע מהקיר מנותק משקע LINE?
98,97,יש לחבר את החוט לשקע LINE.  
99,98,כעת יש ללחוץ על הלחצן הכתום. האם הסתדר?
100,99,"מצוין, תודה"
101,98,האם לא הסתדר?
102,101,האם מכשיר הטלפון הביתי מחובר למוקדנית?
103,102,אנא הרם את השפופרת. האם יש קו?
104,103,אנא צור קשר עם שירות הלקוחות לתיאום נציג טכני.
105,102,האם אין קו?
106,105,יש ליצור קשר עם ספק הטלפון לתיקון התקלה בקו.
107,101,האם מכשיר הטלפון הביתי מנותק מהמוקדנית?
108,107,יש לחבר טלפון ביתי למוקדנית
109,108,אנא הרם את השפופרת. האם יש קו?
110,109,אנא צור קשר עם שירות הלקוחות לתיאום נציג טכני.
111,108,האם אין קו?
112,111,יש ליצור קשר עם ספק הטלפון לתיקון התקלה בקו.
113,96,האם חוט הטלפון שמגיע מהקיר מחובר לשקע LINE?
114,113,כעת יש ללחוץ על הלחצן הכתום. האם הסתדר?
115,114,"מצוין, תודה"
116,113,האם לא הסתדר?
117,116,האם מכשיר הטלפון הביתי מחובר למוקדנית?
118,117,אנא הרם את השפופרת. האם יש קו?
119,118,אנא צור קשר עם שירות הלקוחות לתיאום נציג טכני.
120,117,האם אין קו?
121,120,יש ליצור קשר עם ספק הטלפון לתיקון התקלה בקו.
122,116,האם מכשיר הטלפון הביתי מנותק מהמוקדנית?
123,122,יש לחבר טלפון ביתי למוקדנית
124,123,אנא הרם את השפופרת. האם יש קו?
125,124,אנא צור קשר עם שירות הלקוחות לתיאום נציג טכני.
126,123,האם אין קו?
127,126,יש ליצור קשר עם ספק הטלפון לתיקון התקלה בקו.
128,0,מוקדנית מקצרת קו
129,128,יש לכבות את המוקדנית. האם יש קו?
130,129,אנא צור קשר עם שירות הלקוחות לתיאום נציג טכני.
131,128,האם אין קו?
132,131,"הבעיה היא בקו הטלפון ולא קשורה למוקדנית, יש לפנות לספק הטלפון."
133,0,לחצן או שעון WATCHMAN לא מפעיל מוקדנית
134,133,אנא צור קשר עם שירות הלקוחות לתיאום נציג טכני.
135,0,שמע לא טוב ברמקול
136,135,יש לבקש מהמוקד הרפואי להגביר את עוצמת השמע של המוקדנית. האם הסתדר?
137,136,"מצוין, תודה"
138,135,האם לא הסתדר?
139,138,אנא צור קשר עם שירות הלקוחות לתיאום נציג טכני.
140,0,מוקדנית לא מעבירה מדידות
141,140,האם המוקדנית פועלת? (מתג הפעלה במצב ON).
142,141,יש לחבר את חוט הטלפון שמגיע מהקיר לשקע LINE במוקדנית. האם הסתדר?
143,142,"מצוין, תודה"
144,141,האם לא הסתדר?
145,144,אנא צור קשר עם שירות הלקוחות לתיאום נציג טכני.
146,140,האם המוקדנית כבויה? (מתג הפעלה במצב OFF).
